num_location,num_type_of_university,length_of_college_in_years,num_specified_type,on_campus,residence_halls,noncampus_property,public_property
0,0,4,0,0,0,0,0
0,0,4,1,0,0,0,0
0,0,4,2,2,2,0,0
0,0,4,3,0,0,0,0
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,0,0,0,0
0,0,4,7,1,1,0,0
0,0,4,8,2,1,0,2
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,0,0,0,0
0,0,4,12,1,1,0,0
0,0,4,13,3,3,0,0
0,0,4,14,0,0,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,0,0,0
0,0,4,17,0,0,0,0
0,0,4,18,26,26,0,0
0,0,4,19,74,74,0,0
0,0,4,20,0,0,0,0
1,0,4,0,2,1,0,1
1,0,4,1,0,0,0,0
1,0,4,2,6,2,0,0
1,0,4,3,0,0,0,0
1,0,4,4,0,0,0,0
1,0,4,5,0,0,0,0
1,0,4,6,0,0,0,5
1,0,4,7,16,6,0,0
1,0,4,8,4,0,0,1
1,0,4,9,0,0,0,0
1,0,4,10,0,0,0,0
1,0,4,11,0,0,0,0
1,0,4,12,4,4,0,1
1,0,4,13,1,1,0,1
1,0,4,14,2,0,0,0
1,0,4,15,0,0,0,0
1,0,4,16,0,0,0,0
1,0,4,17,0,0,0,0
1,0,4,18,149,149,0,0
1,0,4,19,849,849,0,0
1,0,4,20,3,3,0,0
0,1,4,0,0,0,0,0
0,1,4,1,0,0,0,0
0,1,4,2,3,0,0,14
0,1,4,3,0,0,0,0
0,1,4,4,0,0,0,0
0,1,4,5,0,0,0,0
0,1,4,6,0,0,0,0
0,1,4,7,0,0,0,0
0,1,4,8,0,0,0,1
0,1,4,9,0,0,0,0
0,1,4,10,0,0,0,0
0,1,4,11,0,0,0,0
0,1,4,12,0,0,0,0
0,1,4,13,1,0,0,1
0,1,4,14,0,0,0,0
0,1,4,15,0,0,0,0
0,1,4,16,0,0,0,0
0,1,4,17,0,0,0,0
0,1,4,18,5,0,0,5
0,1,4,19,0,0,0,0
0,1,4,20,1,0,0,1
