college_name,location,num_location,type_of_university,num_type_of_university,length_of_college_in_years,student_population,type_of_incident,specified_type,num_specified_type,on_campus,residence_halls,noncampus_property,public_property
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,aggravated assault,0,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,arson,1,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,burglary,2,2,2,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,motor vehicle theft,3,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,murder/non-negligent manslaughter,4,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,manslaughter by negligence,5,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,robbery,6,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,rape,7,1,1,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,fondling,8,2,1,0,2
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,incest,9,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,statutory rape,10,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,domestic violence,11,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,dating violence,12,1,1,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,offense,stalking,13,3,3,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,arrests,drug abuse violations arrest,14,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,arrests,liquor law violations arrest,15,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,arrests,weapons possession arrest,16,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,unfounded crime,unfounded crime,17,0,0,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,disciplinary actions/judicial referrals,drug abuse violations,18,26,26,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,disciplinary actions/judicial referrals,liquor law violations,19,74,74,0,0
Fordham University at Lincoln Center,Manhattan,0,Private,0,4,,disciplinary actions/judicial referrals,weapons possession,20,0,0,0,0
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,aggravated assault,0,2,1,0,1
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,arson,1,0,0,0,0
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,burglary,2,6,2,0,0
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,motor vehicle theft,3,0,0,0,0
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,murder/non-negligent manslaughter,4,0,0,0,0
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,manslaughter by negligence,5,0,0,0,0
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,robbery,6,0,0,0,5
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,rape,7,16,6,0,0
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,fondling,8,4,0,0,1
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,incest,9,0,0,0,0
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,statutory rape,10,0,0,0,0
Fordham University at Rose Hill,Bronx,1,Private,0,4,,offense,domestic violence,11,0,0,0,0
